procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 334156  25420 382460    0    0   697   511  406 2578 21 10 66  3  0
 3  0      0 325904  25420 382460    0    0     0     0  927 6921 59 28 13  0  0
 3  0      0 330268  25428 382456    0    0     0   120  807 5900 41 20 40  0  0
 3  0      0 335052  25428 382468    0    0     0     0  812 5871 42 16 42  0  0
 2  0      0 339792  25428 382472    0    0     0     0  844 5891 40 17 43  0  0
 1  0      0 339848  25428 382476    0    0     0     0  824 5864 43 17 40  0  0
 0  0      0 339848  25428 382480    0    0     0     0  796 5805 42 14 44  0  0
 0  0      0 339848  25436 382476    0    0     0    12  827 5851 40 17 43  0  0
 0  0      0 339848  25436 382488    0    0     0     0  784 5835 44 13 44  0  0
 1  0      0 339848  25436 382492    0    0     0     0  836 5874 40 20 39  0  0
 0  0      0 339848  25436 382496    0    0     0     0  803 5820 42 14 44  0  0
 0  0      0 339848  25436 382500    0    0     0     0  803 5826 40 16 44  0  0
 0  0      0 339848  25444 382492    0    0     0    12  821 5869 46 11 43  0  0
 0  0      0 339848  25444 382504    0    0     0     0  802 5842 40 18 42  0  0
 0  0      0 339844  25444 382508    0    0     0     0  846 5864 39 19 42  0  0
 0  0      0 339848  25444 382512    0    0     0     0  834 5827 39 18 43  0  0
 0  0      0 339848  25444 382516    0    0     0     0  822 5839 38 19 43  0  0
 0  0      0 339848  25452 382512    0    0     0    12  827 5852 40 19 42  0  0
 0  0      0 339848  25452 382524    0    0     0     0  849 5848 42 17 42  0  0
 0  0      0 339848  25452 382528    0    0     0     0  806 5832 40 18 42  0  0
 0  0      0 339848  25452 382532    0    0     0     0  833 5870 38 20 42  0  0
 0  0      0 339848  25452 382536    0    0     0     0  813 5860 42 17 42  0  0
 0  0      0 339848  25460 382532    0    0     0   116  839 5857 39 19 42  0  0
 0  0      0 339848  25460 382544    0    0     0     0  835 5833 40 19 42  0  0
 0  0      0 339848  25460 382548    0    0     0     0  842 5857 38 19 43  0  0
 0  0      0 339848  25460 382548    0    0     0     0  822 5849 40 19 40  0  0
 1  0      0 339848  25460 382552    0    0     0     0  847 5858 40 21 39  0  0
 1  0      0 339848  25468 382548    0    0     0    12  840 5874 35 23 42  0  0
 3  0      0 339840  25468 382560    0    0     0     0  830 5881 33 23 44  0  0
 3  0      0 339848  25468 382564    0    0     0     0  830 5911 38 21 41  0  0
 2  0      0 339848  25468 382568    0    0     0     0  831 5957 39 21 40  0  0
 1  0      0 339848  25468 382572    0    0     0     0  857 5863 38 21 41  0  0
